Pytanie,Prawidłowa odp,A,B,C,D
Dlaczego przed założeniem elektrod przecieramy skórę alkoholem?,C,zwiększa przewodnictwo skóry,aby usunąć pot,usuwa zabrudzenia,pozwala się zrelaksować
Rozpoznaj przedstawiony sygnał,C,EOG,EKG,EMG,EEG
Składowa 50Hz w sygnałach bioelektrycznych pochodzi z:,D,właściwości elektrod,serca,budowy wzmacniacza,sieci elekrycznej
Czym jest neuropatia?,C,typem wzmacniacza,chorobą mięśni,choroą nerwów obwodowych,nazwą badania
Czym jest miopatia?,A,chorobą mięśni,chorobą nerwów obwodowych,nazwą badania,typem wzmacniacza
Podczas której fazy snu sygnał EMG jest najsłabszy?,D,podczas pierwszej fazy,podczas drugiej fazy,podczas trzeciej i czwartej fazy,podczas fazy REM
Jak brzmi rozwinięcie skrótu EMG?,B,elektromagnetografia,elektromiografia,encemagnetofalografia,elektromiofalografia
Jakie istnieją rodzaje badań elektromiograficznych?,A,igłowe oraz powierzchniowe,tylko igłowe,tylko powierzchniowe,naklejkowe
Pracę czego widzimy w sygnale EMG,B,mózgu,mięśni,serca,płuc
W czym nie znajduje zastosowanie sygnał EMG?,A,czytaniu fal mózgowych,badaniu mięśni,sterowanie protezą,biofeedback
Jak Stephen Hawking był w stanie generować mowę?,C,przez telepatię,policzka,poprzez śledzenie oczu,za pomocą EEG
Na jakie schorzenie cierpiał Stephen Hawking?,B,neuromiotonia,stwardnienie zanikowe boczne,stwardnienie rozsiane,dystrofia miotaniczna
Gdzie urodziła się Maria Skłodowska - Curie?,A,w Warszawie,w Paryżu,w Toruniu,w Krakowie
W którym wieku żyła Ada Lovelace?,C,XVII,XVIII,XIX,XX
Gdzie urodziła się i zmarła Ada Lovelace?,B,New York,Londyn,Banbury,Wroxton
Za co Albert Einstein dostał nagrodę nobla?,D,"za swoje dzieło pt. ""O obrotach sfer niebieskich""",za najlepszą fryzurę,E=mc2,za odkrycie zjawiska fotoelektrycznego
W jakim kraju urodził się Albert Einstein?,B,w Polsce,w Niemczech,we Francji,w Stanach Zjednoczonych
Gdzie urodził się Mikołaj Kopernik?,D,w Warszawie,w Krakowie,w Poznaniu,w Toruniu
Mikołaj Kopernik najbardziej znany jest z:,C,z przepisu na pierniczki,wynalezienia teleskopu,modelu heliocentrycznego,modelu geocentrycznego
W którym roku urodził się Mikołaj Kopernik?,A,1473,1919,1368,1424
Jakiej narodowości był Stephen Hawking?,A,angielskiej,francuskiej,kanadyjskiej,austryjackiej
W jakim wieku był Stephen Hawking kiedy stwierdzono u niego stwardnienie zanikowe boczne?,B,15 lat,21 lat,9 lat,31 lat
Jakiego wieku dożył Stephen Hawking mimo swojej choroby?,C,49 lat,35 lat,76 lat,82 lat
Ile lat miał Albert Einstein kiedy otrzymał nagrodę Nobla?,A,43,18,21,77
Ile razy Maria Skłodowska - Curie otrzymała nagrodę Nobla?,C,0,1,2,3
Jak nazywał się mąż Marii Skłodowskiej - Curie?,D,Max,Albert,Franciszek,Pierre
"Kto jest twórcą szczególnej teorii względności - teorii która zmieniła sposób pojmowania czasu, przestrzeni i ruchu opisanych wcześniej w newtonowskiej mechanice?",B,Stephen Hawking,Albert Einstein,Andrzej Dragan,Tomasz Kot
W jakim mieście studiowała Maria Skłodowska - Curie?,C,w Warszawie,w Krakowie,w Paryżu,w Zurychu
Gdzie studiował Albert Einstein?,B,w Monachium,w Zurychu,w Bernie,w Paryżu
